№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Real Madrid,33,26,6,1,71,22,84,69.74-1.26,32.72+10.72,67.65-16.35
2,Barcelona,33,22,7,4,68,39,73,72.18+4.18,37.64-1.36,68.64-4.36
3,Girona,33,22,5,6,69,40,71,64.26-4.74,51.80+11.80,55.30-15.70
4,Atletico Madrid,33,20,4,9,62,39,64,61.52-0.48,39.86+0.86,59.23-4.77
5,Athletic Club,33,16,10,7,53,33,58,55.45+2.45,33.04+0.04,57.11-0.89
6,Real Sociedad,33,13,12,8,46,35,51,44.97-1.03,40.48+5.48,47.77-3.23
7,Real Betis,33,12,13,8,41,39,49,45.68+4.68,45.72+6.72,47.24-1.76
8,Valencia,33,13,8,12,37,38,47,36.26-0.74,44.84+6.84,40.23-6.77
9,Villarreal,33,12,9,12,54,55,45,52.33-1.67,54.52-0.48,45.09+0.09
10,Getafe,33,10,13,10,41,45,43,43.37+2.37,50.70+5.70,40.99-2.01
11,Osasuna,33,11,6,16,37,49,39,40.30+3.30,50.24+1.24,40.86+1.86
12,Sevilla,33,9,11,13,42,46,38,44.43+2.43,53.54+7.54,38.73+0.73
13,Alaves,33,10,8,15,31,38,38,43.08+12.08,44.44+6.44,42.65+4.65
14,Las Palmas,33,10,7,16,30,41,37,30.20+0.20,53.45+12.45,31.45-5.55
15,Rayo Vallecano,33,7,13,13,27,42,34,37.36+10.36,40.71-1.29,43.47+9.47
16,Mallorca,33,6,14,13,27,39,32,36.23+9.23,44.63+5.63,40.10+8.10
17,Celta Vigo,33,7,10,16,37,50,31,47.33+10.33,53.41+3.41,42.34+11.34
18,Cadiz,33,4,14,15,23,46,26,30.85+7.85,49.25+3.25,35.64+9.64
19,Granada,33,4,9,20,36,61,21,38.98+2.98,54.30-6.70,34.19+13.19
20,Almeria,33,1,11,21,32,67,14,43.74+11.74,62.98-4.02,33.48+19.48
