№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Arsenal,35,25,5,5,85,28,80,75.54-9.46,30.10+2.10,73.76-6.24
2,Manchester City,34,24,7,3,82,32,79,76.85-5.15,34.70+2.70,72.35-6.65
3,Liverpool,35,22,9,4,77,36,75,83.96+6.96,42.78+6.78,70.46-4.54
4,Aston Villa,35,20,7,8,73,52,67,64.04-8.96,58.31+6.31,53.13-13.87
5,Tottenham,33,18,6,9,67,52,60,62.87-4.13,58.23+6.23,50.23-9.77
6,Manchester United,34,16,6,12,52,51,54,56.94+4.94,66.72+15.72,42.25-11.75
7,Newcastle United,34,16,5,13,74,55,53,71.84-2.16,56.05+1.05,56.59+3.59
8,West Ham,35,13,10,12,56,65,49,49.69-6.31,70.73+5.73,38.12-10.88
9,Chelsea,33,13,9,11,63,59,48,68.89+5.89,54.66-4.34,55.33+7.33
10,Bournemouth,35,13,9,13,52,60,48,60.21+8.21,58.07-1.93,50.99+2.99
11,Wolverhampton Wanderers,35,13,7,15,48,55,46,48.37+0.37,63.41+8.41,39.30-6.70
12,Brighton,34,11,11,12,52,57,44,54.06+2.06,55.87-1.13,47.17+3.17
13,Everton,35,12,8,15,37,48,44,57.04+20.04,55.63+7.63,48.89+4.89
14,Fulham,35,12,7,16,51,55,43,50.15-0.85,60.88+5.88,42.39-0.61
15,Crystal Palace,35,10,10,15,45,57,40,47.12+2.12,55.89-1.11,42.95+2.95
16,Brentford,35,9,8,18,52,60,35,59.85+7.85,54.08-5.92,49.75+14.75
17,Nottingham Forest,35,7,9,19,42,62,30,46.19+4.19,50.27-11.73,45.97+15.97
18,Luton,35,6,7,22,48,77,25,46.21-1.79,85.59+8.59,29.12+4.12
19,Burnley,35,5,9,21,38,70,24,40.12+2.12,66.88-3.12,32.36+8.36
20,Sheffield United,35,3,7,25,34,97,16,37.65+3.65,78.75-18.25,26.33+10.33
