№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Bayern Munich,34,21,8,5,92,38,71,85.12-6.88,37.01-0.99,71.99+0.99
2,Borussia Dortmund,34,22,5,7,83,44,71,76.97-6.03,43.23-0.77,64.69-6.31
3,RasenBallsport Leipzig,34,20,6,8,64,41,66,68.84+4.84,36.99-4.01,67.51+1.51
4,Union Berlin,34,18,8,8,51,38,62,35.07-15.93,42.43+4.43,42.32-19.68
5,Freiburg,34,17,8,9,51,44,59,50.24-0.76,49.66+5.66,47.33-11.67
6,Bayer Leverkusen,34,14,8,12,57,49,50,53.68-3.32,46.78-2.22,52.59+2.59
7,Eintracht Frankfurt,34,13,11,10,58,52,50,53.20-4.80,44.53-7.47,51.50+1.50
8,Wolfsburg,34,13,10,11,57,48,49,51.21-5.79,52.10+4.10,47.23-1.77
9,Mainz 05,34,12,10,12,54,55,46,50.49-3.51,54.86-0.14,45.15-0.85
10,Borussia M.Gladbach,34,11,10,13,52,55,43,52.84+0.84,59.04+4.04,44.29+1.29
11,FC Cologne,34,10,12,12,49,54,42,51.04+2.04,42.07-11.93,49.67+7.67
12,Hoffenheim,34,10,6,18,48,57,36,47.31-0.69,52.84-4.16,42.97+6.97
13,Werder Bremen,34,10,6,18,51,64,36,42.91-8.09,57.85-6.15,40.48+4.48
14,Bochum,34,10,5,19,40,72,35,40.08+0.08,69.44-2.56,32.16-2.84
15,Augsburg,34,9,7,18,42,63,34,36.03-5.97,65.07+2.07,30.23-3.77
16,VfB Stuttgart,34,7,12,15,45,57,33,49.15+4.15,48.31-8.69,47.31+14.31
17,Schalke 04,34,7,10,17,35,71,31,40.54+5.54,61.53-9.47,38.76+7.76
18,Hertha Berlin,34,7,8,19,42,69,29,41.44-0.56,62.42-6.58,34.33+5.33
