№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Barcelona,38,28,4,6,70,20,88,82.79+12.79,33.34+13.34,79.31-8.69
2,Real Madrid,38,24,6,8,75,36,78,79.39+4.39,39.44+3.44,76.46-1.54
3,Atletico Madrid,38,23,8,7,70,33,77,68.68-1.32,43.19+10.19,67.02-9.98
4,Real Sociedad,38,21,8,9,51,35,71,62.57+11.57,35.55+0.55,71.83+0.83
5,Villarreal,38,19,7,12,59,40,64,65.56+6.56,51.40+11.40,61.82-2.18
6,Real Betis,38,17,9,12,46,41,60,55.10+9.10,51.57+10.57,53.94-6.06
7,Osasuna,38,15,8,15,37,42,53,41.42+4.42,51.58+9.58,44.56-8.44
8,Athletic Club,38,14,9,15,47,43,51,56.22+9.22,37.49-5.51,63.84+12.84
9,Mallorca,38,14,8,16,37,43,50,39.56+2.56,46.98+3.98,48.74-1.26
10,Girona,38,13,10,15,58,55,49,54.80-3.20,54.71-0.29,51.60+2.60
11,Sevilla,38,13,10,15,47,54,49,50.70+3.70,57.99+3.99,49.64+0.64
12,Rayo Vallecano,38,13,10,15,45,53,49,42.54-2.46,53.19+0.19,45.57-3.43
13,Celta Vigo,38,11,10,17,43,53,43,42.25-0.75,49.24-3.76,47.04+4.04
14,Valencia,38,11,9,18,42,45,42,53.64+11.64,52.36+7.36,53.72+11.72
15,Getafe,38,10,12,16,34,45,42,38.91+4.91,47.07+2.07,44.68+2.68
16,Cadiz,38,10,12,16,30,53,42,42.68+12.68,68.79+15.79,39.91-2.09
17,Almeria,38,11,8,19,49,65,41,46.09-2.91,69.26+4.26,40.16-0.84
18,Real Valladolid,38,11,7,20,33,63,40,39.86+6.86,70.33+7.33,34.89-5.11
19,Espanyol,38,8,13,17,52,69,37,51.04-0.96,63.92-5.08,44.88+7.88
20,Elche,38,5,10,23,30,67,25,40.29+10.29,76.69+9.69,34.77+9.77
