№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,38,32,4,2,106,27,100,91.43-14.57,24.51-2.49,91.09-8.91
2,Manchester United,38,25,6,7,68,28,81,59.04-8.96,43.54+15.54,62.33-18.67
3,Tottenham,38,23,8,7,74,36,77,68.91-5.09,35.86-0.14,76.02-0.98
4,Liverpool,38,21,12,5,84,38,75,77.49-6.51,35.75-2.25,79.38+4.38
5,Chelsea,38,21,7,10,62,38,70,59.16-2.84,34.03-3.97,68.46-1.54
6,Arsenal,38,19,6,13,74,51,63,72.27-1.73,48.75-2.25,65.90+2.90
7,Burnley,38,14,12,12,36,39,54,32.77-3.23,52.16+13.16,41.00-13.00
8,Everton,38,13,10,15,44,58,49,43.71-0.29,55.50-2.50,47.00-2.00
9,Leicester,38,12,11,15,56,60,47,50.29-5.71,49.36-10.64,55.85+8.85
10,Newcastle United,38,12,8,18,39,47,44,44.63+5.63,52.47+5.47,46.24+2.24
11,Crystal Palace,38,11,11,16,45,55,44,56.75+11.75,53.54-1.46,58.03+14.03
12,Bournemouth,38,11,11,16,45,61,44,39.99-5.01,64.93+3.93,37.64-6.36
13,West Ham,38,10,12,16,48,68,42,36.80-11.20,58.37-9.63,39.26-2.74
14,Watford,38,11,8,19,44,64,41,45.85+1.85,53.98-10.02,46.69+5.69
15,Brighton,38,9,13,16,34,54,40,37.21+3.21,53.08-0.92,40.85+0.85
16,Huddersfield,38,9,10,19,28,58,37,32.13+4.13,53.22-4.78,36.84-0.16
17,Southampton,38,7,15,16,37,56,36,41.88+4.88,46.56-9.44,48.72+12.72
18,Swansea,38,8,9,21,28,56,33,29.71+1.71,61.83+5.83,32.31-0.69
19,Stoke,38,7,12,19,35,68,33,36.75+1.75,65.54-2.46,36.17+3.17
20,West Bromwich Albion,38,6,13,19,31,56,31,35.18+4.18,48.99-7.01,42.96+11.96
