№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Barcelona,38,28,9,1,99,29,93,90.49-8.51,41.62+12.62,79.44-13.56
2,Atletico Madrid,38,23,10,5,58,22,79,50.29-7.71,35.48+13.48,61.60-17.40
3,Real Madrid,38,22,10,6,94,44,76,91.29-2.71,45.10+1.10,79.99+3.99
4,Valencia,38,22,7,9,65,38,73,57.76-7.24,47.89+9.89,58.23-14.77
5,Villarreal,38,18,7,13,57,50,61,55.67-1.33,54.24+4.24,54.96-6.04
6,Real Betis,38,18,6,14,60,61,60,46.72-13.28,49.76-11.24,50.51-9.49
7,Sevilla,38,17,7,14,49,58,58,61.49+12.49,54.03-3.97,58.61+0.61
8,Getafe,38,15,10,13,42,33,55,49.03+7.03,39.65+6.65,57.53+2.53
9,Eibar,38,14,9,15,44,50,51,41.42-2.58,45.53-4.47,50.79-0.21
10,Girona,38,14,9,15,50,59,51,52.10+2.10,51.60-7.40,53.03+2.03
11,Real Sociedad,38,14,7,17,66,59,49,56.35-9.65,51.13-7.87,55.84+6.84
12,Celta Vigo,38,13,10,15,59,60,49,54.59-4.41,57.68-2.32,48.83-0.17
13,Espanyol,38,12,13,13,36,42,49,41.58+5.58,53.37+11.37,44.68-4.32
14,Alaves,38,15,2,21,40,50,47,37.88-2.12,58.20+8.20,39.03-7.97
15,Levante,38,11,13,14,44,58,46,44.20+0.20,65.12+7.12,41.82-4.18
16,Athletic Club,38,10,13,15,41,49,43,51.79+10.79,50.71+1.71,54.13+11.13
17,Leganes,38,12,7,19,34,51,43,39.26+5.26,48.77-2.23,44.58+1.58
18,Deportivo La Coruna,38,6,11,21,38,76,29,49.78+11.78,60.87-15.13,49.16+20.16
19,Las Palmas,38,5,7,26,24,74,22,37.88+13.88,74.43+0.43,31.05+9.05
20,Malaga,38,5,5,28,24,61,20,35.88+11.88,60.24-0.76,35.83+15.83
