№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Barcelona,38,30,4,4,110,21,94,102.98-7.02,28.44+7.44,94.08+0.08
2,Real Madrid,38,30,2,6,118,38,92,95.77-22.23,42.61+4.61,81.75-10.25
3,Atletico Madrid,38,23,9,6,67,29,78,57.05-9.95,29.07+0.07,73.14-4.86
4,Valencia,38,22,11,5,70,32,77,55.06-14.94,39.39+7.39,63.71-13.29
5,Sevilla,38,23,7,8,71,45,76,69.53-1.47,47.86+2.86,67.39-8.61
6,Villarreal,38,16,12,10,48,37,60,56.77+8.77,40.70+3.70,62.74+2.74
7,Athletic Club,38,15,10,13,42,41,55,45.54+3.54,44.11+3.11,53.36-1.64
8,Celta Vigo,38,13,12,13,47,44,51,58.89+11.89,51.78+7.78,55.05+4.05
9,Malaga,38,14,8,16,42,48,50,46.22+4.22,54.13+6.13,48.51-1.49
10,Espanyol,38,13,10,15,47,51,49,43.98-3.02,48.30-2.70,50.38+1.38
11,Rayo Vallecano,38,15,4,19,46,68,49,47.79+1.79,70.43+2.43,43.55-5.45
12,Real Sociedad,38,11,13,14,44,51,46,33.49-10.51,51.16+0.16,38.78-7.22
13,Elche,38,11,8,19,35,62,41,39.61+4.61,58.07-3.93,40.67-0.33
14,Getafe,38,10,7,21,33,64,37,33.97+0.97,53.67-10.33,40.10+3.10
15,Levante,38,9,10,19,34,67,37,35.30+1.30,60.27-6.73,37.60+0.60
16,Eibar,38,9,8,21,34,55,35,29.56-4.44,53.72-1.28,35.65+0.65
17,Deportivo La Coruna,38,7,14,17,35,60,35,37.87+2.87,50.98-9.02,43.52+8.52
18,Granada,38,7,14,17,29,64,35,37.39+8.39,54.28-9.72,45.73+10.73
19,Almeria,38,8,8,22,35,64,32,38.67+3.67,58.87-5.13,39.33+7.33
20,Cordoba,38,3,11,24,22,68,20,29.76+7.76,57.34-10.66,36.29+16.29
