№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Chelsea,38,26,9,3,73,32,87,68.64-4.36,31.52-0.48,75.32-11.68
2,Manchester City,38,24,7,7,83,38,79,75.82-7.18,40.50+2.50,73.10-5.90
3,Arsenal,38,22,9,7,71,36,75,69.80-1.20,35.72-0.28,75.17+0.17
4,Manchester United,38,20,10,8,62,37,70,54.21-7.79,39.84+2.84,63.03-6.97
5,Tottenham,38,19,7,12,58,53,64,52.39-5.61,57.04+4.04,48.94-15.06
6,Liverpool,38,18,8,12,52,48,62,51.70-0.30,38.25-9.75,61.17-0.83
7,Southampton,38,18,6,14,54,33,60,54.97+0.97,39.11+6.11,62.82+2.82
8,Swansea,38,16,8,14,46,49,56,40.90-5.10,55.94+6.94,43.32-12.68
9,Stoke,38,15,9,14,48,45,54,46.26-1.74,47.03+2.03,51.97-2.03
10,Crystal Palace,38,13,9,16,47,51,48,44.76-2.24,45.48-5.52,50.56+2.56
11,Everton,38,12,11,15,48,50,47,44.89-3.11,46.18-3.82,50.91+3.91
12,West Ham,38,12,11,15,44,47,47,46.69+2.69,57.40+10.40,47.22+0.22
13,West Bromwich Albion,38,11,11,16,38,51,44,38.63+0.63,53.75+2.75,44.74+0.74
14,Leicester,38,11,8,19,46,55,41,48.21+2.21,56.39+1.39,44.64+3.64
15,Newcastle United,38,10,9,19,40,63,39,40.22+0.22,51.01-11.99,45.63+6.63
16,Sunderland,38,7,17,14,31,53,38,37.45+6.45,51.46-1.54,44.18+6.18
17,Aston Villa,38,10,8,20,31,57,38,33.10+2.10,49.71-7.29,40.89+2.89
18,Hull,38,8,11,19,33,51,35,32.79-0.21,46.99-4.01,41.32+6.32
19,Burnley,38,7,12,19,28,53,33,39.37+11.37,57.89+4.89,39.80+6.80
20,Queens Park Rangers,38,8,6,24,42,73,30,45.73+3.73,65.26-7.74,40.28+10.28
