№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Barcelona,38,29,4,5,112,29,91,113.60+1.60,34.03+5.03,94.38+3.38
2,Real Madrid,38,28,6,4,110,34,90,90.45-19.55,45.23+11.23,79.09-10.91
3,Atletico Madrid,38,28,4,6,63,18,88,54.93-8.07,27.80+9.80,72.28-15.72
4,Villarreal,38,18,10,10,44,35,64,40.49-3.51,41.63+6.63,52.11-11.89
5,Athletic Club,38,18,8,12,58,45,62,53.90-4.10,45.33+0.33,58.24-3.76
6,Celta Vigo,38,17,9,12,51,59,60,50.20-0.80,51.98-7.02,53.08-6.92
7,Sevilla,38,14,10,14,51,50,52,62.97+11.97,46.09-3.91,63.64+11.64
8,Malaga,38,12,12,14,38,35,48,45.75+7.75,45.25+10.25,53.08+5.08
9,Real Sociedad,38,13,9,16,45,48,48,47.95+2.95,48.04+0.04,52.75+4.75
10,Real Betis,38,11,12,15,34,52,45,40.11+6.11,64.39+12.39,40.49-4.51
11,Valencia,38,11,11,16,46,48,44,50.51+4.51,61.69+13.69,46.73+2.73
12,Las Palmas,38,12,8,18,45,53,44,38.68-6.32,59.24+6.24,41.18-2.82
13,Eibar,38,11,10,17,49,61,43,52.92+3.92,50.58-10.42,54.03+11.03
14,Espanyol,38,12,7,19,40,74,43,46.09+6.09,60.84-13.16,43.15+0.15
15,Deportivo La Coruna,38,8,18,12,45,61,42,43.75-1.25,52.37-8.63,46.08+4.08
16,Sporting Gijon,38,10,9,19,40,62,39,42.57+2.57,60.62-1.38,40.61+1.61
17,Granada,38,10,9,19,46,69,39,41.35-4.65,62.37-6.63,38.50-0.50
18,Rayo Vallecano,38,9,11,18,52,73,38,52.26+0.26,65.09-7.91,45.78+7.78
19,Getafe,38,9,9,20,37,67,36,41.77+4.77,63.35-3.65,40.88+4.88
20,Levante,38,8,8,22,37,70,32,39.22+2.22,63.55-6.45,37.33+5.33
