№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Leicester,38,23,12,3,68,36,81,68.42+0.42,45.02+9.02,68.94-12.06
2,Arsenal,38,20,11,7,65,36,71,73.53+8.53,33.86-2.14,77.01+6.01
3,Tottenham,38,19,13,6,69,35,70,63.42-5.58,37.08+2.08,69.43-0.57
4,Manchester City,38,19,9,10,71,41,66,66.20-4.80,37.47-3.53,70.14+4.14
5,Manchester United,38,19,9,10,49,35,66,45.42-3.58,39.66+4.66,56.44-9.56
6,Southampton,38,18,9,11,59,41,63,56.20-2.80,44.29+3.29,61.08-1.92
7,West Ham,38,16,14,8,65,51,62,54.40-10.60,55.48+4.48,49.80-12.20
8,Liverpool,38,16,12,10,63,50,60,54.37-8.63,37.88-12.12,63.29+3.29
9,Stoke,38,14,9,15,41,55,51,42.63+1.63,54.35-0.65,48.30-2.70
10,Chelsea,38,12,14,12,59,53,50,54.48-4.52,44.63-8.37,59.62+9.62
11,Everton,38,11,14,13,59,55,47,53.98-5.02,54.75-0.25,52.69+5.69
12,Swansea,38,12,11,15,42,52,47,39.96-2.04,53.63+1.63,42.40-4.60
13,Watford,38,12,9,17,40,50,45,43.20+3.20,51.85+1.85,48.25+3.25
14,West Bromwich Albion,38,10,13,15,34,48,43,39.75+5.75,51.94+3.94,42.30-0.70
15,Crystal Palace,38,11,9,18,39,51,42,42.51+3.51,52.94+1.94,44.89+2.89
16,Bournemouth,38,11,9,18,45,67,42,38.71-6.29,53.97-13.03,43.74+1.74
17,Sunderland,38,9,12,17,48,62,39,40.52-7.48,58.85-3.15,40.52+1.52
18,Newcastle United,38,9,10,19,44,65,37,37.61-6.39,55.42-9.58,40.21+3.21
19,Norwich,38,9,7,22,39,67,34,39.19+0.19,58.93-8.07,39.18+5.18
20,Aston Villa,38,3,8,27,27,76,17,26.53-0.47,59.01-16.99,29.83+12.83
