№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Atletico Madrid,38,26,8,4,67,25,86,57.66-9.34,35.67+10.67,66.41-19.59
2,Real Madrid,38,25,9,4,67,28,84,65.07-1.93,38.70+10.70,69.98-14.02
3,Barcelona,38,24,7,7,85,38,79,83.96-1.04,40.93+2.93,78.18-0.82
4,Sevilla,38,24,5,9,53,33,77,55.86+2.86,34.33+1.33,66.96-10.04
5,Real Sociedad,38,17,11,10,59,38,62,63.15+4.15,38.80+0.80,67.61+5.61
6,Real Betis,38,17,10,11,50,50,61,49.77-0.23,47.51-2.49,55.37-5.63
7,Villarreal,38,15,13,10,60,44,58,57.86-2.14,43.67-0.33,63.77+5.77
8,Celta Vigo,38,14,11,13,55,57,53,51.32-3.68,50.31-6.69,52.83-0.17
9,Athletic Club,38,11,13,14,46,42,46,43.06-2.94,38.46-3.54,54.77+8.77
10,Granada,38,13,7,18,47,65,46,41.05-5.95,59.82-5.18,40.58-5.42
11,Osasuna,38,11,11,16,37,48,44,39.61+2.61,49.83+1.83,45.10+1.10
12,Cadiz,38,11,11,16,36,58,44,36.70+0.70,58.91+0.91,39.01-4.99
13,Valencia,38,10,13,15,50,53,43,41.89-8.11,55.69+2.69,42.38-0.62
14,Levante,38,9,14,15,46,57,41,40.93-5.07,55.13-1.87,43.53+2.53
15,Getafe,38,9,11,18,28,43,38,35.62+7.62,40.40-2.60,48.39+10.39
16,Alaves,38,9,11,18,36,57,38,39.11+3.11,51.55-5.45,43.23+5.23
17,Elche,38,8,12,18,34,55,36,30.40-3.60,61.63+6.63,30.31-5.69
18,SD Huesca,38,7,13,18,34,53,34,37.98+3.98,48.64-4.36,45.23+11.23
19,Real Valladolid,38,5,16,17,34,57,31,37.92+3.92,52.56-4.44,41.53+10.53
20,Eibar,38,6,12,20,29,52,30,42.45+13.45,48.84-3.16,48.62+18.62
