№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,38,27,5,6,83,32,86,77.72-5.28,30.61-1.39,83.38-2.62
2,Manchester United,38,21,11,6,73,44,74,63.17-9.83,41.92-2.08,65.64-8.36
3,Liverpool,38,20,9,9,68,42,69,72.21+4.21,47.30+5.30,68.80-0.20
4,Chelsea,38,19,10,9,58,36,67,68.66+10.66,30.90-5.10,77.41+10.41
5,Leicester,38,20,6,12,68,50,66,58.80-9.20,47.07-2.93,59.75-6.25
6,West Ham,38,19,8,11,62,47,65,60.34-1.66,49.86+2.86,59.18-5.82
7,Tottenham,38,18,8,12,68,45,62,56.68-11.32,52.55+7.55,53.98-8.02
8,Arsenal,38,18,7,13,55,39,61,52.25-2.75,43.23+4.23,58.72-2.28
9,Leeds,38,18,5,15,62,54,59,59.26-2.74,63.02+9.02,51.81-7.19
10,Everton,38,17,8,13,47,48,59,49.24+2.24,50.16+2.16,50.72-8.28
11,Aston Villa,38,16,7,15,55,46,55,56.72+1.72,53.25+7.25,54.06-0.94
12,Newcastle United,38,12,9,17,46,62,45,43.96-2.04,60.02-1.98,42.65-2.35
13,Wolverhampton Wanderers,38,12,9,17,36,52,45,38.62+2.62,52.19+0.19,44.26-0.74
14,Crystal Palace,38,12,8,18,41,66,44,35.29-5.71,61.90-4.10,37.95-6.05
15,Southampton,38,12,7,19,47,68,43,45.28-1.72,58.55-9.45,44.17+1.17
16,Brighton,38,9,14,15,40,46,41,53.82+13.82,39.91-6.09,61.41+20.41
17,Burnley,38,10,9,19,33,55,39,38.13+5.13,59.06+4.06,38.10-0.90
18,Fulham,38,5,13,20,27,53,28,41.06+14.06,57.64+4.64,42.42+14.42
19,West Bromwich Albion,38,5,11,22,35,76,26,34.97-0.03,74.04-1.96,29.59+3.59
20,Sheffield United,38,7,2,29,20,63,23,33.16+13.16,66.11+3.11,29.92+6.92
