№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,38,29,6,3,99,26,93,93.40-5.60,25.21-0.79,91.88-1.12
2,Liverpool,38,28,8,2,94,26,92,93.02-0.98,32.73+6.73,86.56-5.44
3,Chelsea,38,21,11,6,76,33,74,69.30-6.70,35.12+2.12,73.38-0.62
4,Tottenham,38,22,5,11,69,40,71,67.95-1.05,43.70+3.70,66.09-4.91
5,Arsenal,38,22,3,13,61,48,69,63.39+2.39,48.39+0.39,64.76-4.24
6,Manchester United,38,16,10,12,57,57,58,57.21+0.21,56.85-0.15,54.52-3.48
7,West Ham,38,16,8,14,60,51,56,54.98-5.02,53.88+2.88,53.56-2.44
8,Leicester,38,14,10,14,62,59,52,49.49-12.51,66.11+7.11,42.31-9.69
9,Brighton,38,12,15,11,42,44,51,49.57+7.57,47.21+3.21,54.18+3.18
10,Wolverhampton Wanderers,38,15,6,17,38,43,51,39.04+1.04,58.48+15.48,40.54-10.46
11,Newcastle United,38,13,10,15,44,62,49,41.53-2.47,62.71+0.71,41.53-7.47
12,Crystal Palace,38,11,15,12,50,46,48,48.84-1.16,41.33-4.67,58.15+10.15
13,Brentford,38,13,7,18,48,56,46,52.89+4.89,49.50-6.50,56.00+10.00
14,Aston Villa,38,13,6,19,52,54,45,43.13-8.87,53.10-0.90,46.20+1.20
15,Southampton,38,9,13,16,43,67,40,47.35+4.35,64.56-2.44,43.45+3.45
16,Everton,38,11,6,21,43,66,39,44.47+1.47,60.69-5.31,43.54+4.54
17,Leeds,38,9,11,18,42,79,38,51.19+9.19,71.31-7.69,43.86+5.86
18,Burnley,38,7,14,17,34,53,35,41.11+7.11,60.22+7.22,38.10+3.10
19,Watford,38,6,5,27,34,77,23,39.34+5.34,67.53-9.47,35.45+12.45
20,Norwich,38,5,7,26,23,84,22,31.51+8.51,80.08-3.92,25.04+3.04
