№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Real Madrid,38,26,8,4,80,31,86,80.22+0.22,45.78+14.78,73.59-12.41
2,Barcelona,38,21,10,7,68,38,73,70.54+2.54,35.08-2.92,73.60+0.60
3,Atletico Madrid,38,21,8,9,65,43,71,59.45-5.55,35.77-7.23,69.01-1.99
4,Sevilla,38,18,16,4,53,30,70,46.85-6.15,40.60+10.60,57.00-13.00
5,Real Betis,38,19,8,11,62,40,65,55.90-6.10,46.79+6.79,56.49-8.51
6,Real Sociedad,38,17,11,10,40,37,62,56.09+16.09,41.51+4.51,64.02+2.02
7,Villarreal,38,16,11,11,63,37,59,70.33+7.33,47.89+10.89,63.85+4.85
8,Athletic Club,38,14,13,11,43,36,55,57.01+14.01,39.29+3.29,62.79+7.79
9,Valencia,38,11,15,12,48,53,48,42.28-5.72,52.24-0.76,46.28-1.72
10,Osasuna,38,12,11,15,37,51,47,42.03+5.03,50.59-0.41,48.99+1.99
11,Celta Vigo,38,12,10,16,43,43,46,44.94+1.94,46.12+3.12,51.23+5.23
12,Rayo Vallecano,38,11,9,18,39,50,42,47.03+8.03,52.15+2.15,50.46+8.46
13,Elche,38,11,9,18,40,52,42,36.81-3.19,61.07+9.07,35.67-6.33
14,Espanyol,38,10,12,16,40,53,42,38.90-1.10,57.12+4.12,40.03-1.97
15,Getafe,38,8,15,15,33,41,39,31.55-1.45,44.49+3.49,42.87+3.87
16,Cadiz,38,8,15,15,35,51,39,41.80+6.80,54.74+3.74,44.18+5.18
17,Mallorca,38,10,9,19,36,63,39,40.58+4.58,56.14-6.86,39.75+0.75
18,Granada,38,8,14,16,44,61,38,41.30-2.70,66.09+5.09,37.24-0.76
19,Levante,38,8,11,19,51,76,35,57.56+6.56,62.61-13.39,52.73+17.73
20,Alaves,38,8,7,23,31,65,31,38.46+7.46,63.57-1.43,37.60+6.60
