№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Real Madrid,38,29,6,3,106,41,93,90.87-15.13,36.86-4.14,86.17-6.83
2,Barcelona,38,28,6,4,116,37,90,93.55-22.45,31.32-5.68,87.95-2.05
3,Atletico Madrid,38,23,9,6,70,27,78,60.66-9.34,31.34+4.34,69.10-8.90
4,Sevilla,38,21,9,8,69,49,72,59.09-9.91,38.70-10.30,66.18-5.82
5,Villarreal,38,19,10,9,56,33,67,52.23-3.77,43.16+10.16,59.57-7.43
6,Real Sociedad,38,19,7,12,59,53,64,45.58-13.42,43.71-9.29,54.94-9.06
7,Athletic Club,38,19,6,13,53,43,63,51.08-1.92,40.46-2.54,60.54-2.46
8,Espanyol,38,15,11,12,49,50,56,32.55-16.45,38.35-11.65,46.92-9.08
9,Alaves,38,14,13,11,41,43,55,42.60+1.60,43.97+0.97,52.79-2.21
10,Eibar,38,15,9,14,56,51,54,42.98-13.02,45.17-5.83,50.05-3.95
11,Malaga,38,12,10,16,49,55,46,40.37-8.63,47.35-7.65,45.75-0.25
12,Valencia,38,13,7,18,56,65,46,50.34-5.66,50.96-14.04,53.39+7.39
13,Celta Vigo,38,13,6,19,53,69,45,40.48-12.52,55.98-13.02,42.63-2.37
14,Las Palmas,38,10,9,19,53,74,39,40.80-12.20,58.39-15.61,42.11+3.11
15,Real Betis,38,10,9,19,41,64,39,35.72-5.28,48.27-15.73,44.56+5.56
16,Deportivo La Coruna,38,8,12,18,43,61,36,41.00-2.00,48.60-12.40,51.16+15.16
17,Leganes,38,8,11,19,36,55,35,33.19-2.81,46.39-8.61,40.95+5.95
18,Sporting Gijon,38,7,10,21,42,72,31,36.35-5.65,64.43-7.57,33.86+2.86
19,Osasuna,38,4,10,24,40,94,22,33.13-6.87,64.82-29.18,31.64+9.64
20,Granada,38,4,8,26,30,82,20,29.69-0.31,74.03-7.97,26.50+6.50
